clcarNo,  clcarPos,  nextPos,  snowNo,  snowWeight,  clcArriveT,  clcTaskEndT, 
      9,       103,      104,      29,       24545,      0.0213,       0.0376,
     11,       103,       92,       2,       26999,      0.0364,       0.0543,
      1,         1,        2,      18,       40090,      0.0323,       0.0591,
      5,        60,       69,      30,       27408,      0.0509,       0.0692,
     10,       103,       95,      23,       22908,      0.0646,       0.0799,
      6,        60,       68,      22,       17181,      0.0815,       0.0929,
     12,       103,       21,       7,       22090,      0.0789,       0.0937,
      8,        60,       72,      27,       31908,      0.0851,       0.1064,
      9,       104,       99,       8,       26590,      0.1314,       0.1492,
     10,        95,       85,      10,       20454,      0.1461,       0.1597,
      3,         1,      131,      17,       38863,      0.1360,       0.1619,
     11,        92,      111,      16,       20454,      0.1527,       0.1664,
      7,        60,       87,      20,       24954,      0.1768,       0.1935,
      2,         1,       15,      11,       40908,      0.1922,       0.2194,
      5,        69,       97,      21,       35590,      0.2152,       0.2389,
      4,         1,       24,       1,       20863,      0.2522,       0.2661,
      6,        68,       39,      15,       17590,      0.2564,       0.2681,
      9,        99,      120,       6,       23318,      0.2590,       0.2745,
     12,        21,      124,       3,       17590,      0.2703,       0.2820,
      2,        15,       30,      14,       21681,      0.3409,       0.3553,
      8,        72,      122,      26,       35999,      0.3349,       0.3589,
     10,        85,       53,      24,       22090,      0.3679,       0.3827,
     12,       124,      103,      -1,           0,      0.3883,       0.3883,
      3,       131,      138,      19,       44999,      0.4069,       0.4369,
      1,         2,       42,       5,       31090,      0.4487,       0.4694,
     11,       111,       27,      13,       34363,      0.4480,       0.4709,
      7,        87,       49,      25,       37635,      0.4815,       0.5066,
      9,       120,        8,       4,       38044,      0.4868,       0.5122,
      5,        97,       55,       9,       16363,      0.5087,       0.5196,
      4,        24,       51,      12,       29454,      0.5157,       0.5353,
     10,        53,      103,      -1,           0,      0.6235,       0.6235,
      5,        55,       60,      -1,           0,      0.6556,       0.6556,
      2,        30,        1,      -1,           0,      0.6690,       0.6690,
      8,       122,       60,      -1,           0,      0.6725,       0.6725,
      6,        39,      133,      28,       37635,      0.6543,       0.6794,
     11,        27,      103,      -1,           0,      0.6904,       0.6904,
      7,        49,       60,      -1,           0,      0.6988,       0.6988,
      9,         8,      103,      -1,           0,      0.7824,       0.7824,
      3,       138,        1,      -1,           0,      0.7889,       0.7889,
      1,        42,        1,      -1,           0,      0.8755,       0.8755,
      4,        51,        1,      -1,           0,      1.0175,       1.0175,
      6,       133,       60,      -1,           0,      1.1409,       1.1409,
